"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"Obp1a",3.54994808312024e-23,2.47313803675412,0.388,0.157,8.92066453807286e-19
"Brd1",1.05392495598255e-10,1.4079109326312,0.26,0.127,2.64840802188856e-06
"Dgkz",1.01830922368244e-08,1.27284731182432,0.236,0.12,0.00025589092481916
"Arl6ip5",1.62482540484425e-06,1.10208287832998,0.205,0.111,0.0408302375983311
"Scand1",9.00589932979492e-11,0.841072433841062,0.537,0.393,2.26309244258417e-06
"Fcrls",1.61144843957111e-06,0.837248200529004,0.482,0.391,0.0404940878379825
"Atf5",3.67768070009276e-07,0.760175212395295,0.341,0.218,0.0092416438312631
"Fkbp2",8.90552032953217e-07,0.711911072683239,0.403,0.284,0.0223786820360814
"Fstl5",1.1939405771973e-07,0.685701121848035,0.346,0.216,0.0030002532764391
"Atp1b1",1.06732283547073e-07,0.677762344663897,0.489,0.353,0.00268207555325439
"Hnrnpa0",4.31148102202759e-07,0.6768721762426,0.5,0.384,0.0108343206602531
"Pmepa1",5.25816941608859e-08,0.676500662047304,0.617,0.534,0.0013213253925689
"App",1.78957506646912e-11,0.671409379643238,0.758,0.599,4.49702318453025e-07
"Hpgd",1.67770552298852e-10,0.664595379949742,0.654,0.515,4.21590620871785e-06
"Gnal",2.45000622993513e-07,0.641917913710652,0.383,0.254,0.00615662065520399
"Epcam",1.39032946952139e-06,0.609323788346449,0.379,0.258,0.0349375892396031
"Omp",4.6263394934987e-07,0.559950892723258,0.412,0.291,0.0116255285132129
"Atp5o",8.33130809034064e-07,0.532780326305716,0.593,0.472,0.020935744100217
"Atp5a1",3.0218556932184e-10,0.525085192473022,0.749,0.593,7.59362117148852e-06
"Purb",1.59448316279935e-06,0.521194587946738,0.476,0.351,0.0400677673979849
"Gpx4",1.98697085774946e-10,0.496059557626122,0.872,0.769,4.99305906843863e-06
"Ndufb9",6.87690917308684e-08,0.495230722424573,0.701,0.566,0.00172809850610499
"Stoml3",4.53191501424477e-07,0.477049460973999,0.465,0.342,0.0113882492392957
"Map1b",8.21562908796238e-07,0.474821026136334,0.465,0.345,0.0206450543351407
"Trf",9.80524401272428e-07,0.469697642818635,0.755,0.7,0.0246395976795748
"S100a5",2.02899786306181e-07,0.455351237970728,0.485,0.35,0.00509866873008803
"Cox4i1",3.5259608501863e-12,0.437936645642361,0.98,0.958,8.86038702043316e-08
"Apoe",6.85219518494119e-08,0.401329967795924,0.936,0.949,0.00172188812802387
"Ftl1",1.95559412646676e-11,0.39182751722772,0.998,1,4.91421248039833e-07
"Rpl10",2.07838191901869e-10,0.389684128239858,0.991,0.981,5.22276592430208e-06
"Tuba1a",3.62357911385816e-07,0.36596443269566,0.522,0.381,0.00910569195521417
"Fth1",1.24759158168847e-08,0.348160481356666,1,1,0.000313507288562495
"Rps5",6.57062269162078e-07,0.336963067297653,0.995,0.991,0.0165113177617739
"Pfdn5",1.98562840590708e-06,0.327606554131445,0.927,0.858,0.0498968562120391
"Rpl18",1.74470246545293e-06,0.314449178297043,0.991,0.984,0.0438426282543667
"Rpl29",5.34871043015226e-07,0.302565803016398,0.969,0.955,0.0134407744399296
"Rpl13",4.28021477798736e-07,0.287798552274697,1,1,0.0107557517156044
"Cst3",1.4767334274863e-07,0.277246652420113,0.996,0.992,0.00371088342993033
"Rps9",7.23464075865582e-07,0.272562278768709,1,0.997,0.0181799287624262
"C1qa",5.45000876683926e-08,0.239322355137167,0.912,0.918,0.00136953270301904
"Rps15a",1.77347656224924e-07,-0.230754312392,0.993,0.992,0.00445656925327611
"Hspa8",3.61655570816946e-07,-0.249321615420552,1,0.996,0.00908804283905904
"Rps23",1.12985099967691e-10,-0.27917375085998,0.996,0.997,2.83920257708811e-06
"Rpl22",5.22397324621344e-07,-0.280465043970395,0.973,0.973,0.0131273223704097
"Rpl35a",4.86037335710817e-12,-0.327264376339105,0.996,0.997,1.22136322090771e-07
"Rpl34",2.33689712860959e-12,-0.333167065185458,1,0.992,5.87238879448305e-08
"H2-K1",3.19713581946908e-07,-0.338754991715509,0.892,0.907,0.00803408260074386
"Rplp2",1.90819775143439e-13,-0.345011575907257,0.996,0.993,4.79511012957947e-09
