"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"Rps28",3.01409658858391e-43,-0.691664237709071,0.987,0.997,7.57412331745252e-39
"Rps21",5.60575652003584e-41,-0.643162379183589,0.995,0.996,1.40867055591981e-36
"Rps27",6.4619198370229e-40,-0.696863181658031,0.995,0.996,1.62381583584548e-35
"Rps29",1.96357535286643e-36,-0.524623825143238,1,0.997,4.93426850421806e-32
"Rpl39",6.29939075699493e-33,-0.650439042822034,0.991,0.997,1.58297390332526e-28
"Rpl37a",1.30175043315035e-32,-0.554375502176846,1,0.997,3.2711686634635e-28
"Rpl37",1.03403072744608e-31,-0.604456053536677,0.993,0.993,2.59841581499927e-27
"Rpl38",2.02642433942955e-29,-0.593479777769507,0.987,0.996,5.09220172255252e-25
"Obp1a",3.54994808312024e-23,2.47313803675412,0.388,0.157,8.92066453807286e-19
"Rpl41",1.97998132806915e-22,-0.480914822157499,0.993,0.997,4.97549507930496e-18
"Hspa1a",4.29056117874623e-18,-1.69463021258695,0.141,0.351,1.07817511860714e-13
"Gm42418",1.43907915071867e-17,-0.737280457643033,0.991,0.98,3.61626199784095e-13
"Gpr65",7.89788938065925e-16,-0.910391273571425,0.456,0.666,1.98466062246586e-11
"mt-Atp8",1.36705891360521e-14,-0.908404123019882,0.484,0.665,3.43528234399854e-10
"Rpl36",4.4948140265364e-14,-0.388888369073159,0.976,0.992,1.12950181672833e-09
"Btg1",8.81286847184487e-14,-0.536287492380628,0.799,0.895,2.2145857182899e-09
"Rps26",1.07802025514122e-13,-0.410046852486367,0.985,0.981,2.70895709914436e-09
"Rplp2",1.90819775143439e-13,-0.345011575907257,0.996,0.993,4.79511012957947e-09
"Ppp1r10",6.82317897611981e-13,-1.06637151753852,0.26,0.442,1.71459664490915e-08
"Rpl34",2.33689712860959e-12,-0.333167065185458,1,0.992,5.87238879448305e-08
"Dnaja1",3.46508177521526e-12,-0.753669089794193,0.802,0.841,8.70740399293843e-08
"Cox4i1",3.5259608501863e-12,0.437936645642361,0.98,0.958,8.86038702043316e-08
"Rpl35a",4.86037335710817e-12,-0.327264376339105,0.996,0.997,1.22136322090771e-07
"App",1.78957506646912e-11,0.671409379643238,0.758,0.599,4.49702318453025e-07
"Ftl1",1.95559412646676e-11,0.39182751722772,0.998,1,4.91421248039833e-07
"Hspa1b",1.9739321539006e-11,-2.43911078552058,0.026,0.132,4.96029410953681e-07
"H2-Aa",2.59307404501961e-11,-0.473696957496879,0.667,0.822,6.51613576772979e-07
"Scand1",9.00589932979492e-11,0.841072433841062,0.537,0.393,2.26309244258417e-06
"Brd1",1.05392495598255e-10,1.4079109326312,0.26,0.127,2.64840802188856e-06
"Rps23",1.12985099967691e-10,-0.27917375085998,0.996,0.997,2.83920257708811e-06
"Wfdc18",1.63185681567874e-10,-0.927971095866463,0.051,0.168,4.1006929921191e-06
"Hpgd",1.67770552298852e-10,0.664595379949742,0.654,0.515,4.21590620871785e-06
"Gpx4",1.98697085774946e-10,0.496059557626122,0.872,0.769,4.99305906843863e-06
"Rpl10",2.07838191901869e-10,0.389684128239858,0.991,0.981,5.22276592430208e-06
"Egr1",2.49651308256411e-10,-0.531824333936992,0.925,0.916,6.27348772517534e-06
"Atp5a1",3.0218556932184e-10,0.525085192473022,0.749,0.593,7.59362117148852e-06
"Slc15a3",1.00553131809137e-09,-0.630161028290019,0.441,0.614,2.5267996492318e-05
"Rpl36a",1.15844764764366e-09,-0.377783490202754,0.888,0.939,2.91106309376376e-05
"Cops9",1.27125949936304e-09,-0.800584995777619,0.267,0.422,3.19454799594939e-05
"Hexim1",2.54088532292068e-09,-1.25220079429408,0.148,0.282,6.38499072796737e-05
