"ID","Description","setSize","enrichmentScore","NES","pvalue","p.adjust","qvalue","rank","leading_edge","core_enrichment"
"GO:0002684","positive regulation of immune system process",421,-0.315981403873976,-1.70808923741099,1.67166201093219e-07,0.000602634154941054,0.000549008997274571,839,"tags=27%, list=19%, signal=24%","Ddx21/Ifih1/Arid1a/Rb1/Zbtb1/Ddx3x/Smarcd2/Ptafr/Hspa8/Il1b/Cd74/B2m/Ifi211/Plcg2/Icosl/Ipo5/Hes1/Pcbp2/Xiap/Cxcl10/Syk/Smpdl3a/Ezr/Ep300/Ube2k/Tlr2/Mapkapk2/Ddx60/Ptger4/Casp1/Nf1/Il18/Gps2/Snx4/H2-M3/Irgm1/Ifi207/Rela/Axl/H2-K1/Tnf/Camk1d/Hmgb2/Mapkapk3/Tbk1/Fosl2/Il2rg/Swap70/Casp4/Inpp5d/Ccl2/H2-Ab1/Cmklr1/Nmi/Stat6/Brd2/Matr3/Gdi1/Themis2/Trim25/H2-Eb1/Id2/Il2ra/Peli1/Sh2d1b1/Chuk/Trib1/Psen2/Lat2/Il16/Ptk2b/Rif1/Cebpa/Hax1/Nfkbiz/Rab7b/Ano6/Pik3cd/Foxp1/H2-Q7/Arid5a/H2-Aa/Sash3/Tap2/Irf5/Dnm1l/Nlrp3/Hsp90aa1/Nfkbia/Mmp14/Asxl2/Aim2/Tnip1/Dnajb9/Zc3h12a/Zc3hav1/Pde4b/Runx3/Irf1/Cdkn1a/Slc15a3/Psen1/Cadm1/Havcr2/Arid2/Abl1/Icam1/Cd300ld/Spn/Irs2/Trim30d/Hexim1/Hspa1b"
"GO:0001817","regulation of cytokine production",283,-0.337234602644549,-1.77406676757315,1.06011658203242e-06,0.00127390675940896,0.0011605486792776,905,"tags=31%, list=21%, signal=27%","Map2k3/Tbc1d23/Scimp/Srgn/Cybb/Ddx21/Ifih1/Zbtb1/Dicer1/Ddx3x/Ddit3/Tank/Ptafr/Rock2/Uba5/Il1b/Cd74/B2m/Plcg2/Tia1/Icosl/Tmem106a/Zfp131/Xiap/Pou2f2/Syk/Isg15/Ezr/Tlr2/Mapkapk2/Iqgap1/Ptger4/Casp1/Il18/Zbtb20/H2-M3/Irgm1/Ifi207/Rela/Sulf2/Ccl4/Axl/Tnf/Hmgb2/Tbk1/Casp4/Inpp5d/Ccl2/Adcy7/Cmklr1/Nmi/Crebbp/Stat3/Peli1/Sh2d1b1/Chuk/Fcgr2b/Il16/Rab7b/Clec12a/Foxp1/Litaf/Arid5a/Sash3/Irf5/Atf4/Nlrp3/Hsp90aa1/Rel/Egr1/Hif1a/Errfi1/Aim2/Zc3h12a/Zc3hav1/Tnfrsf1b/Pde4b/Irf1/Hmox1/Psen1/Acp5/Cadm1/Havcr2/Abl1/Cd300ld/Elf4/Spn/Ly9/Hspa1b"
"GO:0001816","cytokine production",316,-0.330029883085263,-1.74709167021054,9.44660074063202e-07,0.00127390675940896,0.0011605486792776,907,"tags=31%, list=21%, signal=27%","Tnfsf13b/Map2k3/Tbc1d23/Scimp/Srgn/Cybb/Ddx21/Ifih1/Zbtb1/Dicer1/Ddx3x/Ddit3/Tank/Ptafr/Rock2/Uba5/Il1b/Cd74/B2m/Vps13a/Irak4/Plcg2/Tia1/Icosl/Tmem106a/Zfp131/Xiap/Pou2f2/Syk/Isg15/Ezr/Tlr2/Mapkapk2/Iqgap1/Ptger4/Casp1/Il18/Zbtb20/H2-M3/Irgm1/Ifi207/Rela/Sulf2/Ccl4/Axl/Prkcd/Tnf/Hmgb2/Tbk1/Fosl2/Casp4/Inpp5d/Ccl2/Adcy7/Cmklr1/Nmi/Crebbp/Stat3/Peli1/Sh2d1b1/Chuk/Fcgr2b/Psen2/Il16/Nfkbiz/Rab7b/Notch1/Clec12a/Foxp1/Litaf/Arid5a/Sash3/Irf5/Atf4/Nlrp3/Hsp90aa1/Rel/Egr1/Hif1a/Errfi1/Aim2/Zc3h12a/Zc3hav1/Tnfrsf1b/Pde4b/Runx3/Irf1/Hmox1/Psen1/Acp5/Cadm1/Havcr2/Abl1/Cd300ld/Elf4/Rnf19b/Spn/Ly9/Hspa1b"
"GO:0045321","leukocyte activation",379,-0.313925215890929,-1.68598717986155,1.41590499003182e-06,0.00127608437226618,0.00116253251813139,826,"tags=26%, list=19%, signal=23%","Arid1a/Zbtb7a/Ctnnb1/Zbtb1/Dicer1/Smarcd2/Ptafr/Prdm1/Il1b/Cd74/Selplg/B2m/Plcg2/Nampt/Icosl/Tmem106a/Hes1/Psap/Rpl22/Pou2f2/Syk/Ep300/Tlr2/Ptger4/Casp1/Il18/Gps2/Jmjd6/Snx4/H2-M3/Ufl1/Irgm1/Axl/Prkcd/Tnf/Sos2/Fosl2/Il2rg/Swap70/Inpp5d/Ccl2/H2-Ab1/Nmi/Stat6/Brd2/Lst1/Themis2/Stat3/H2-Eb1/Id2/Il2ra/Peli1/Sh2d1b1/Fcgr2b/Psen2/Lat2/Il16/Ptk2b/Rif1/Cebpa/Nfkbiz/Clec12a/Pik3cd/Mafb/Foxp1/Samsn1/Kmt2e/H2-Aa/Sash3/Mink1/Nlrp3/Hsp90aa1/Mmp14/Egr1/Cxcr4/Slamf7/Dnajb9/Zc3h12a/Zfp36l2/Sema4a/Tnfrsf1b/Sh2b3/Runx3/Irf1/Cdkn1a/Hmox1/Psen1/Ptpre/Havcr2/Arid2/Abl1/Icam1/Elf4/Spn/Ldlr/Lfng/Irs2/Ly9"
"GO:0001819","positive regulation of cytokine production",188,-0.381539907850065,-1.91590750389713,3.0126658954944e-06,0.00181011009220955,0.00164903817437588,851,"tags=33%, list=20%, signal=28%","Cybb/Ddx21/Ifih1/Ddx3x/Ddit3/Tank/Ptafr/Rock2/Il1b/Cd74/B2m/Plcg2/Icosl/Tmem106a/Xiap/Pou2f2/Syk/Isg15/Tlr2/Mapkapk2/Ptger4/Casp1/Il18/Zbtb20/H2-M3/Ifi207/Rela/Sulf2/Ccl4/Tnf/Hmgb2/Tbk1/Casp4/Ccl2/Stat3/Peli1/Chuk/Fcgr2b/Il16/Rab7b/Clec12a/Foxp1/Arid5a/Sash3/Irf5/Atf4/Nlrp3/Hsp90aa1/Rel/Egr1/Hif1a/Aim2/Zc3hav1/Pde4b/Irf1/Psen1/Cadm1/Havcr2/Abl1/Spn/Ly9/Hspa1b"
"GO:0050776","regulation of immune response",362,-0.308114200005848,-1.64679638183766,2.93241581268204e-06,0.00181011009220955,0.00164903817437588,816,"tags=26%, list=19%, signal=23%","Zbtb1/Parp14/Ddx3x/Ptafr/Hspa8/Il1b/Cd74/B2m/Ifi211/Plcg2/Icosl/Ipo5/Pcbp2/Xiap/Syk/Isg15/Smpdl3a/Ezr/Ep300/Ube2k/Tlr2/Mapkapk2/Ddx60/Casp1/Il18/Nfe2l2/Gps2/H2-M3/Ufl1/Irgm1/Ifi207/Rela/Lair1/H2-K1/Tnf/Hmgb2/Mapkapk3/Tbk1/Fosl2/Casp4/Inpp5d/H2-Ab1/Adcy7/Hcst/Cmklr1/Nmi/Stat6/Brd2/Matr3/Gdi1/Themis2/Trim25/H2-Eb1/Peli1/Sh2d1b1/Chuk/Fcgr2b/Psen2/Lat2/Rif1/Nfkbiz/Rab7b/Clec12a/Foxp1/Samsn1/H2-Q7/Arid5a/H2-Aa/Sash3/Tap2/Nlrp3/Hsp90aa1/Nfkbia/Stat2/Aim2/Tnip1/Zc3h12a/Zc3hav1/Lyar/Tnfrsf1b/Pde4b/Irf1/Slc15a3/Psen1/Cadm1/Havcr2/Abl1/Cd300ld/Spn/Trim30d/Dtx4/Hexim1/Hspa1b"
"GO:0045087","innate immune response",364,-0.307785906499709,-1.64740660209476,3.59267126977424e-06,0.00185022570393373,0.0016855841145407,1087,"tags=32%, list=25%, signal=27%","Gigyf2/Slc15a4/Btk/Crk/Cxcl16/Setd2/Sirpa/Akt1/Relb/Myo1f/Lyn/Dtx3l/Ubqln1/Rnf115/Clec4a1/Ppt1/Rab43/Cd300a/Tnfaip3/Pim1/Med1/Scimp/Rnaset2a/Wfdc17/Oasl2/Cybb/Ddx21/Ifih1/Zbtb1/Rnase6/Parp14/Ddx3x/Hspa8/Sp100/Mpeg1/Prdm1/Cd74/B2m/Ifi211/Irak4/Plcg2/Tmem106a/Ipo5/Pcbp2/Actr2/Xiap/Cxcl10/Syk/Isg15/Smpdl3a/G3bp2/Ube2k/Tlr2/Mapkapk2/Ddx60/Casp1/Rb1cc1/Il18/Nfe2l2/Gps2/Rps6kb1/H2-M3/Irgm1/Ifi207/Rela/Axl/Tnf/Hmgb2/Mapkapk3/Tbk1/Fosl2/Trim28/Casp4/Ccl2/Hcst/Nmi/Matr3/Gdi1/Ch25h/Trim25/Rab20/Peli1/Sh2d1b1/Chuk/Neurl3/Nfkbiz/Rab7b/Pik3cd/H2-Q7/Arid5a/Dhx15/Tap2/Irf5/Nlrp3/Hsp90aa1/Rel/Nfkbia/Stat2/Aim2/Tnip1/Slamf7/Zc3hav1/Lyar/Ube2w/Irf1/Slc15a3/Ifi47/Rpl39/Cadm1/Havcr2/Rnf19b/Trim30d/Dtx4/Wfdc18/Ly9/Ciita/Hexim1/Hspa1b"
"GO:0046649","lymphocyte activation",313,-0.315760655142814,-1.67168211843683,7.05510093022742e-06,0.00293629836648372,0.00267501303844929,826,"tags=29%, list=19%, signal=26%","Cd300a/Il6ra/Cdk6/Fgl2/Tnfaip3/Pag1/Rc3h1/Tnfsf13b/Smarce1/Hhex/Arid1a/Zbtb7a/Ctnnb1/Zbtb1/Dicer1/Smarcd2/Prdm1/Il1b/Cd74/B2m/Plcg2/Icosl/Hes1/Psap/Rpl22/Pou2f2/Syk/Ep300/Ptger4/Il18/Gps2/Jmjd6/H2-M3/Ufl1/Irgm1/Axl/Prkcd/Sos2/Fosl2/Il2rg/Swap70/Inpp5d/Ccl2/H2-Ab1/Stat6/Brd2/Lst1/Themis2/Stat3/H2-Eb1/Id2/Il2ra/Peli1/Fcgr2b/Psen2/Lat2/Ptk2b/Rif1/Nfkbiz/Clec12a/Pik3cd/Mafb/Foxp1/Samsn1/H2-Aa/Sash3/Mink1/Nlrp3/Hsp90aa1/Mmp14/Egr1/Cxcr4/Slamf7/Dnajb9/Zc3h12a/Zfp36l2/Sema4a/Tnfrsf1b/Sh2b3/Runx3/Irf1/Cdkn1a/Psen1/Havcr2/Arid2/Abl1/Icam1/Elf4/Spn/Lfng/Irs2/Ly9"
"GO:0032101","regulation of response to external stimulus",388,-0.293837757617684,-1.57794792404188,8.14507175168853e-06,0.00293629836648372,0.00267501303844929,1090,"tags=33%, list=25%, signal=27%","Adam17/Gigyf2/Slc15a4/Pik3cg/Btk/Brd4/Osm/Crk/Stap1/Sirpa/Pros1/Akt1/Myo1f/Lyn/Dtx3l/Inpp5f/Ubqln1/Flna/Rnf115/Klf4/Ppt1/Cd300a/Fgl2/Tnfaip3/Dusp1/Pim1/Med1/Tbc1d23/Scimp/Aoah/Ctss/Ifih1/Rb1/Dicer1/Parp14/Ddx3x/Hspa8/Pdgfb/Il1b/Cd74/Ifi211/Plcg2/Ipo5/Pcbp2/Igf1r/Xiap/Cxcl10/Syk/Isg15/Smpdl3a/Ube2k/Tlr2/Ubash3b/Mapkapk2/Ddx60/Ptger4/Casp1/Map3k8/Il18/Nfe2l2/Gps2/Snx4/H2-M3/Ufl1/Irgm1/Ifi207/Rela/Prkcd/Il10ra/Tnf/Camk1d/Hmgb2/Mapkapk3/Tbk1/Swap70/Casp4/Ccl2/Cmklr1/Nmi/Matr3/Gdi1/Stat3/Ndel1/Trim25/Il2ra/Peli1/Sh2d1b1/Chuk/Fcgr2b/Trib1/Il16/Ptk2b/Cebpa/Nfkbiz/Rab7b/Ano6/Notch1/Chd8/Clec12a/Foxp1/Tap2/Dnm1l/Nlrp3/Hsp90aa1/Nfkbia/Stat2/Aim2/Tnip1/Cxcr4/St6gal1/Zc3h12a/Zc3hav1/Lyar/Tnfrsf1b/Sh2b3/Irf1/Slc15a3/Acp5/Cadm1/Havcr2/Plaur/Elf4/Spn/Ldlr/Trim30d/Dtx4/Hexim1/Hspa1b"
"GO:0001775","cell activation",425,-0.290138682448373,-1.56872311762529,8.03339826156581e-06,0.00293629836648372,0.00267501303844929,826,"tags=24%, list=19%, signal=22%","Arid1a/Zbtb7a/Ctnnb1/Zbtb1/Dicer1/Smarcd2/Ptafr/Pdgfb/Prdm1/Il1b/Cd74/Selplg/B2m/Plcg2/Nampt/Icosl/Tmem106a/Hes1/Psap/Rpl22/Pou2f2/Cxcl10/Syk/Ep300/Tlr2/Ubash3b/Ptger4/Casp1/Il18/Gps2/Jmjd6/Snx4/H2-M3/Ufl1/Irgm1/Gna13/Axl/Prkcd/Tnf/Sos2/Fosl2/Il2rg/Swap70/Inpp5d/Ccl2/H2-Ab1/Nmi/Stat6/Brd2/Lst1/Themis2/Stat3/H2-Eb1/Id2/Il2ra/Peli1/Sh2d1b1/Fcgr2b/Psen2/Lat2/Il16/Ptk2b/Rif1/Cebpa/Nfkbiz/Clec12a/Pik3cd/Mafb/Foxp1/Samsn1/Kmt2e/H2-Aa/Sash3/Mink1/Nlrp3/Hsp90aa1/Mmp14/Egr1/Rasa3/Cxcr4/Slamf7/Dnajb9/Zc3h12a/Zfp36l2/Sema4a/Tnfrsf1b/Sh2b3/Runx3/Irf1/Cdkn1a/Hmox1/Psen1/Ptpre/Havcr2/Arid2/Abl1/Icam1/Gla/Elf4/Spn/Ldlr/Lfng/Irs2/Ly9"
