"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"Cd79a",0,9.47540111356796,0.93,0.007,0,"B cells","Cd79a"
"Igkc",0,9.11658297756148,0.884,0.018,0,"B cells","Igkc"
"Cd79b",0,6.88831335838844,0.842,0.029,0,"B cells","Cd79b"
"Ighm",0,4.94477384540972,0.912,0.16,0,"B cells","Ighm"
"Iglc3",0,9.71067029211424,0.596,0.001,0,"B cells","Iglc3"
"Iglc2",0,9.67767476760227,0.582,0.003,0,"B cells","Iglc2"
"Ms4a1",0,9.94730612010254,0.574,0.002,0,"B cells","Ms4a1"
"Pax5",0,8.74946767209007,0.498,0.003,0,"B cells","Pax5"
"Vpreb3",0,6.89448945626567,0.51,0.02,0,"B cells","Vpreb3"
"Mzb1",0,8.5339664897143,0.488,0.003,0,"B cells","Mzb1"
"Ighd",0,8.50300463375321,0.484,0.004,0,"B cells","Ighd"
"Fcmr",0,8.32435896543067,0.476,0.004,0,"B cells","Fcmr"
"Fcrla",0,8.46059785777843,0.456,0.003,0,"B cells","Fcrla"
"H2-Ob",0,6.25291788924964,0.42,0.015,0,"B cells","H2-Ob"
"Bank1",0,5.67354380764186,0.404,0.018,0,"B cells","Bank1"
"Siglecg",0,5.98281615466972,0.39,0.013,0,"B cells","Siglecg"
"Spib",0,5.87114608861944,0.348,0.01,0,"B cells","Spib"
"Pou2af1",0,7.53861438370568,0.298,0.002,0,"B cells","Pou2af1"
"Fcer2a",0,8.59061346869123,0.268,0.001,0,"B cells","Fcer2a"
"Iglc1",1.32211966827118e-320,8.74558754890014,0.3,0.004,3.32235451439864e-316,"B cells","Iglc1"
"Ly6d",7.71932720347618e-316,2.74428560164302,0.782,0.116,1.93978973296153e-311,"B cells","Ly6d"
"Gm31243",3.41549390156429e-285,7.26410125881266,0.264,0.004,8.5827946252409e-281,"B cells","Gm31243"
"Cd37",9.13621434526104e-273,3.44355167681405,0.798,0.19,2.29583930282065e-268,"B cells","Cd37"
"H2-DMb2",2.51939867611492e-257,4.78843289393979,0.42,0.034,6.33099693320919e-253,"B cells","H2-DMb2"
"Tnfrsf13c",1.16332737385661e-255,6.59855344476623,0.252,0.005,2.92332535776427e-251,"B cells","Tnfrsf13c"
"Ebf1",1.03757998262043e-242,3.10451593844034,0.916,0.306,2.60733473832688e-238,"B cells","Ebf1"
"Ccr7",6.97876624473551e-232,4.18892501709731,0.318,0.017,1.75369416963959e-227,"B cells","Ccr7"
"BE692007",2.4698150880195e-216,4.24549203157666,0.4,0.039,6.20639833468419e-212,"B cells","BE692007"
"H2-Aa",2.80850719073948e-204,1.4909785561341,0.764,0.163,7.05749771960923e-200,"B cells","H2-Aa"
"H2-Ab1",1.01151751018795e-202,1.30095510092139,0.784,0.176,2.5418423513513e-198,"B cells","H2-Ab1"
"Cd74",1.24189640979418e-196,1.90810969104622,0.882,0.297,3.12076148817181e-192,"B cells","Cd74"
"Ptprcap",1.7450026205828e-187,2.37871343059585,0.682,0.154,4.38501708526253e-183,"B cells","Ptprcap"
"Ralgps2",1.78553841284996e-183,3.66774604494737,0.532,0.105,4.48687947765067e-179,"B cells","Ralgps2"
"H2-Eb1",9.15052890109271e-182,1.25100354048487,0.708,0.154,2.29943640755559e-177,"B cells","H2-Eb1"
"Mef2c",7.22822341241813e-174,2.60375025386843,0.728,0.222,1.81638026130655e-169,"B cells","Mef2c"
"H2-Oa",1.99148926678915e-170,4.51978717837157,0.294,0.025,5.00441337851446e-166,"B cells","H2-Oa"
"Fau",9.55235266467498e-166,1.16720081349596,1,0.998,2.40041070110618e-161,"B cells","Fau"
"Rps20",8.5828999624121e-161,1.24755684679473,0.998,0.981,2.15679693155454e-156,"B cells","Rps20"
"Scd1",9.00435604911194e-156,2.78827623546706,0.338,0.039,2.26270463158134e-151,"B cells","Scd1"
"H3f3a",3.26490642090289e-155,1.43929572157005,0.998,0.98,8.20438334508688e-151,"B cells","H3f3a"
"Rps19",1.25693576532779e-152,1.28671891447086,1,0.968,3.15855388469219e-148,"B cells","Rps19"
"Rps24",3.70650294834141e-150,1.17554916599862,1,0.994,9.31407125888712e-146,"B cells","Rps24"
"Rps15a",5.04404611923414e-143,1.1504691872561,1,0.974,1.26751834930235e-138,"B cells","Rps15a"
"Rpl18a",4.88691881290546e-138,1.11203930759541,1,0.986,1.22803382849501e-133,"B cells","Rpl18a"
"Rps27",1.36361797916273e-137,1.39738239366424,1,0.982,3.42663561983802e-133,"B cells","Rps27"
"Rpl34",3.94467991274541e-130,1.07368852750301,0.998,0.986,9.91258615273795e-126,"B cells","Rpl34"
"Cd72",1.40155688049273e-128,2.68704733560537,0.422,0.08,3.52197228499019e-124,"B cells","Cd72"
"Bach2",2.02402025410232e-128,3.83404895611844,0.338,0.052,5.08616049653373e-124,"B cells","Bach2"
"Rps13",6.7955975846952e-128,0.998155181541616,0.998,0.99,1.70766571705806e-123,"B cells","Rps13"
"Rps26",2.51682803479031e-123,1.09991792174005,0.998,0.967,6.32453716862458e-119,"B cells","Rps26"
"Rpl35a",1.36951427484986e-120,0.96225761452452,1,0.978,3.4414524212702e-116,"B cells","Rpl35a"
"Rps3a1",1.54563752902701e-119,0.948946315216515,1,0.989,3.88403254669197e-115,"B cells","Rps3a1"
"Rps16",3.81726945117201e-118,0.928358023050926,0.998,0.988,9.59241640385015e-114,"B cells","Rps16"
"Slamf6",2.63574542216084e-117,3.59890255474905,0.28,0.037,6.62336467134796e-113,"B cells","Slamf6"
"Hvcn1",6.03329458006789e-117,3.57942964267533,0.328,0.054,1.51610659502526e-112,"B cells","Hvcn1"
"Rpl39",1.97917353613746e-116,1.12703140067564,1,0.966,4.97346517895982e-112,"B cells","Rpl39"
"Rps7",3.27537409485475e-115,0.975759225629664,1,0.988,8.23068756296049e-111,"B cells","Rps7"
"Rpl12",8.07382281429394e-115,1.10538282648477,1,0.942,2.02887093500392e-110,"B cells","Rpl12"
"Rps10",1.16063798131299e-113,0.923908344029416,1,0.991,2.91656718324141e-109,"B cells","Rps10"
"Gm8369",1.45897758451022e-110,3.01753427529398,0.298,0.045,3.66626477211572e-106,"B cells","Gm8369"
"Rpl17",2.42088758471914e-105,0.902098875012721,1,0.985,6.08344841164072e-101,"B cells","Rpl17"
