"direction","avg_log2FC","pct.1","pct.2","p_val_adj"
"Up in D02",2.473,0.388,0.157,"8.92e-19"
"Up in D02",0.438,0.98,0.958,"8.86e-08"
"Up in D02",0.671,0.758,0.599,"4.50e-07"
"Up in D02",0.392,0.998,1,"4.91e-07"
"Up in D02",0.841,0.537,0.393,"2.26e-06"
"Up in D02",1.408,0.26,0.127,"2.65e-06"
"Up in D02",0.665,0.654,0.515,"4.22e-06"
"Up in D02",0.496,0.872,0.769,"4.99e-06"
"Up in D02",0.39,0.991,0.981,"5.22e-06"
"Up in D02",0.525,0.749,0.593,"7.59e-06"
"Up in D14",-0.692,0.987,0.997,"7.57e-39"
"Up in D14",-0.643,0.995,0.996,"1.41e-36"
"Up in D14",-0.697,0.995,0.996,"1.62e-35"
"Up in D14",-0.525,1,0.997,"4.93e-32"
"Up in D14",-0.65,0.991,0.997,"1.58e-28"
"Up in D14",-0.554,1,0.997,"3.27e-28"
"Up in D14",-0.604,0.993,0.993,"2.60e-27"
"Up in D14",-0.593,0.987,0.996,"5.09e-25"
"Up in D14",-0.481,0.993,0.997,"4.98e-18"
"Up in D14",-1.695,0.141,0.351,"1.08e-13"
